Arquivo,Tamanho (KB),Data Modificação
TG133_303001_66646_00813_133_20260326112858_91.13.BIN,4.70,26/03/2026 11:28
TG133_303001_66646_00814_133_20260326113112_91.13.BIN,3.96,26/03/2026 11:31
TG133_303001_66646_00815_133_20260326113305_91.13.BIN,2.45,26/03/2026 11:33
TG133_303001_66646_00816_133_20260326113517_91.13.BIN,2.47,26/03/2026 11:35
TG133_303002_66372_02586_133_20260326044514_91.13.BIN,3.06,26/03/2026 04:45
TG133_303002_66372_02587_133_20260326115819_91.13.BIN,200.78,26/03/2026 11:58
TG133_303002_66372_02588_133_20260326190921_91.13.BIN,215.57,26/03/2026 19:09
TG133_303002_66372_02589_133_20260326230025_91.13.BIN,45.09,26/03/2026 23:01
